Aeroporto Anaa, Anaa, Polinésia Francesa
Aeroporto Martinsburg, Altoona, Estados Unidos
Aeroporto Alor Setar, Alor Setar, Malásia
Aeroporto Amook, Amook, Estados Unidos
Aeroporto Attopeu, Attopeu, República Popular Democrática do Laos
Aparecida, São Paulo, Brasil
Aparecida de Goiania, Goiás, Brasil
Apatzingan, Michoacão, México
Apartado, Antioquia, Colômbia
Aparicio, Buenos Aires, Argentina
Apaseo el Alto, Guanajuato, México
Apaseo el Grande, Guanajuato, México
Aparecida do Norte, São Paulo, Brasil
Apeldoorn, Provincie Gelderland, Holanda
Aperibe, Rio de Janeiro, Brasil
Aeroporto Naples, Naples, Estados Unidos
Apiay, Meta, Colômbia
Apiúna, Santa Catarina, Brasil
Apizaco, Tlaxcala, México
Apia, Tuamasaga, Samoa
Aeroporto Apataki, Apataki, Polinésia Francesa
Aeroporto Nampula, Nampula, Moçambique
Aeroporto Alpena County Regional, Alpena, Estados Unidos
Apostoles, Misiones, Argentina
Eun apolis, Bahia, Brasil
Apolo, Bolívia
Apoquindo, Santiago, Chile
Apodaca, Nuevo León, México
San Juan Aposento, Peru
Appleton, Wisconsin, Estados Unidos
Appian Line, Itália
Apple Valley, Califórnia, Estados Unidos
Monte Aprazivel, São Paulo, Brasil
April River, Papua-Nova Guiné
Apsiou, Eparchia Lemesou, Chipre
Palanga, Klaipedos Apskritis, Lituânia
Klaipeda, Klaipedos Apskritis, Lituânia
Vilnius, Vilniaus Apskritis, Lituânia
Kaunas, Kauno Apskritis, Lituânia
Aeroporto Westchester County Apt, Nova York, Estados Unidos
Aeroporto Wonderboom Apt., Pretória, África do Sul
Branson Apt, Branson, Estados Unidos
Aeroporto Sargodha Apt, Sargodha, Paquistão
Aeroporto Aminu Kano Intl Apt, Kano, Nigéria
Aeroporto Oued Irara Apt, Hassi Messaoud, Argélia
Aeroporto Pembroke And Area Apt, Pembroke, Canadá
Bari, Puglia, Itália
Long Apung, Provinsi Kalimantan Tengah, Indonésia
Apuiares, Ceará, Brasil
Elorza, Estado Apure, Venezuela
Apucarana, Parana, Brasil
Foggia, Puglia, Itália
San Fernando de Apure, Estado Apure, Venezuela
Apulia, Braga, Portugal
Aeroporto Faleolo, Apia, Samoa
Aqaba, Muhafazat al Aqabah, Jordânia
Aeroporto Anqing, Anqing, República Popular da China
Aeroporto Qaisumah, Qaisumah, Arábia Saudita
Aeroporto Al-Aqiq, Al Baha, Arábia Saudita
Aeroporto King Hussein Intl, Aqaba, Jordânia
Kokshetau, Aqmola Oblysy, Cazaquistão
Aqmola, Astana Qalasy, Cazaquistão
Aeroporto Rodriguez Ballon, Arequipa, Peru
Aeroporto Saqani, Saqani, Fiji
Aqtobe, Aktyubinskaya Oblast, Cazaquistão
Aqtan, Cazaquistão
Aquisgrano, Land Nordrhein-Westfalen, Alemanha
 Bordéus, Aquitânia, França
Itxassou, Aquitânia, França
Aquidauana, Mato Grosso do Sul, Brasil
Pau, Aquitânia, França
Sare, Aquitânia, França
Aquiraz, Ceará, Brasil
Neac, Aquitânia, França
Aracaju, Sergipe, Brasil
Aracati, Ceará, Brasil
Araruama, Rio de Janeiro, Brasil
Dubai, Dubayy, Emirados Árabes Unidos
Araçatuba, São Paulo, Brasil
Araraquara, São Paulo, Brasil
Araxá, Minas Gerais, Brasil
Termas del Arapey, Salto, Uruguai
Arba Mintch, Southern Nations, Nationalities, and People's Region, Etiópia
Arboletas, Antioquia, Colômbia
Ann Arbor, Michigan, Estados Unidos
Les Planches-pres-Arbois, Franche-Comté, França
San Andrés, Providencia y Santa Catalina, Archipiélago de San Andrés, Colômbia
Arcoverde, Pernambuco, Brasil
Arcelia, Guerrero, México
Texarkana, Arcansas, Estados Unidos
Arctic Bay, Canadá
Arcadia, Califórnia, Estados Unidos
Arcy-sur-Cure, Borgonha, França
Arcos, Minas Gerais, Brasil
Reims, Champanha-Ardenas, França
Ardmore, Oclaoma, Estados Unidos
Ardez, Kanton Graubunden, Suíça
Ardmore, Auckland, Nova Zelândia
Villegusien-le-Lac, Champaña-Ardenas, França
Epernay, Champanha-Ardenas, França
Ardea, Lácio, Itália
Fontaine, Champaña-Ardenas, França
Arembepe, Bahia, Brasil
Punta Arenas, Magallanes, Chile
Areado, Minas Gerais, Brasil
Carmen de Areco, Buenos Aires, Argentina
Aregua, Central, Paraguai
Arecibo, Porto Rico
Arequipa, Arequipa, Peru
Areal, Rio de Janeiro, Brasil
Buenos Aires, Ciudad de Buenos Aires, Argentina
Mendoza, Mendoza, Argentina
Puerto Iguazu, Misiones, Argentina
El Calafate, Santa Cruz, Argentina
Rosário, Santa Fe, Argentina
Posadas, Misiones, Argentina
San Carlos de Bariloche, Rio Negro, Argentina
Ushuaia, Tierra del Fuego, Argentina
Aeroporto Arkhangelsk, Arkhangelsk, Rússia
Ariquemes, Rondônia, Brasil
Page, Arizona, Estados Unidos
Phoenix, Arizona, Estados Unidos
Arica, Arica y Parinacota, Chile
Arica, Amazonas, Colômbia
Al Arish, Egito
Tucson, Arizona, Estados Unidos
Grand Canyon, Arizona, Estados Unidos
Aeroporto Arso, Arso, Indonésia
Texarkana, Arcansas, Estados Unidos
Arkhangelsk, Arkhangel'skaya Oblast, Rússia
Fort Smith, Arcansas, Estados Unidos
Rogers, Arcansas, Estados Unidos
Paragould, Arcansas, Estados Unidos
Jonesboro, Arcansas, Estados Unidos
Arkalyk, Qostanay Oblysy, Cazaquistão
Winfield / Arkansas City, Kansas, Estados Unidos
Arlit, Agadez, Níger
Arly, Est, Burkina Fasso
Armstrong, Canadá
Alice Arm, Canadá
Las Armas, Buenos Aires, Argentina
Praia da Armação do Pântano do Sul, Santa Catarina, Brasil
Armstrong, Santa Fe, Argentina
Port Armstrong, Alasca, Estados Unidos
Búzios, Rio de Janeiro, Brasil
Armênia, Quindío, Colômbia
Arnhem, Provincie Gelderland, Holanda
Arno, Ilhas Marshall
Arneiroz, Ceará, Brasil
Aroa, Estado Yaracuy, Venezuela
Arorae Island, Kiribati
Arona, Eastern Highlands, Papua-Nova Guiné
Arocena, Santa Fe, Argentina
Arosa, Kanton Graubunden, Suíça
Aeroporto Hanover Arpt, Hanôver, Alemanha
Aeroporto Dresden Arpt, Dresden, Alemanha
Aeroporto Cigli Military Arpt, Izmir, Turquia
Aeroporto Nanaimo Arpt, Nanaimo, Canadá
Aeroporto Klanten Arpt, Gol, Noruega
Aeroporto Dothan Arpt, Dothan, Estados Unidos
Aeroporto Hamar Arpt, Hamar, Noruega
Aeroporto Hodeidah Arpt, Hodeida, Iêmen
Arraial do Cabo, Rio de Janeiro, Brasil
Arraias, Tocantins, Brasil
Arroio do Sal, Rio Grande do Sul, Brasil
São Martinho, Arrondissement de Saint-Martin-Saint-Barthelemy, São Martinho
Arrufo, Santa Fe, Argentina
Arraga, Santiago del Estero, Argentina
Arrecife, Espanha
Arraial d´ajuda, Bahia, Brasil
Brusino Arsizio, Cantone Ticino, Suíça
Arso, Provinsi Papua, Indonésia
Arsuk, Sermersooq, Groenlândia
Artur Nogueira, São Paulo, Brasil
Arteaga, Santa Fe, Argentina
Arteaga, Coahuila de Zaragoza, México
Artesia, Novo México, Estados Unidos
Arthurs Town, Bahamas
ARTHUR, Ilinóis, Estados Unidos
Artigas, Departamento de Artigas, Uruguai
Artemisa, Artemisa, Cuba
Arujá, São Paulo, Brasil
Arusha, Arusha Region, Tanzânia
Arutha, Polinésia Francesa
Arua, Northern Region, Uganda
Aruarama, Rio de Janeiro, Brasil
Along, Arunachal Pradesh, Índia
Aruba, Aruba
Tezu, Arunachal Pradesh, Índia
Arvidsjaur, Norrbotten, Suécia
Aeroporto Arad, Arad, Roménia
Aeroporto de Aracati, Aracati, Brasil
Aeroporto Ararat, Ararat, Austrália
Arzl im Piztal, Tirol, Áustria
V arzea, Paraíba, Brasil
Asau, Vaisigano, Samoa
Asahikawa, Japão
Asapa, Northern, Papua-Nova Guiné
Asamblea, Buenos Aires, Argentina
Asbury Park, Nova Jersey, Estados Unidos
Ascona, Cantone Ticino, Suíça
Ascension Island, Santa Helena
Villa Ascasubi, Córdoba, Argentina
Ascurra, Santa Catarina, Brasil
Ascochinga, Córdoba, Argentina
Ronco sopra Ascona, Cantone Ticino, Suíça
Ascension, Bolívia
Ascension, Buenos Aires, Argentina
Aeroporto Andros Town, Andros Town, Bahamas
Asendorf, Niedersachsen, Alemanha
Aseki, Papua-Nova Guiné
Asela, Oromiya Region, Etiópia
Aeroporto Astrakhan, Astrakhan, Rússia
Aeroporto Ashburton, Ashburton, Nova Zelândia
Ashland, Wisconsin, Estados Unidos
Asheville, Carolina do Norte, Estados Unidos
Ashburn, Virginia, Estados Unidos
Ashcroft, Canadá
Ashburton, Canterbury, Nova Zelândia
Ashgabat, Ahal, Turquemenistão
Ashford, Inglaterra, Reino Unido
Kumasi, Ashanti Region, Gana
Asirim, Papua-Nova Guiné
Puerto Asis, Putumayo, Colômbia
San Francisco de Asis, Misiones, Argentina
Asilah, Region de Tanger-Tetouan, Marrocos
Sanaa, Amanat Al Asimah, Iêmen
Aeroporto Amami, Amami O Shima, Japão
Aeroporto Yamoussoukro, Yamoussoukro, Costa do Marfim
Asmara, Maekel Region, Eritreia
Asosa, Benishangul-Gumuz Region, Etiópia
Aspen, Colorado, Estados Unidos
Aeroporto Internacional Erkilet, Kayseri, Turquia
Assis, São Paulo, Brasil
Assai, Parana, Brasil
Assis Chateaubriand, Parana, Brasil
Kiffa, Assaba, Mauritânia
Assare, Ceará, Brasil
Assunção, Central, Paraguai
Assab, Southern Red Sea Region, Eritreia
Assiut, Egito
Gijon, Principality of Asturias, Espanha
Astun, Espanha
Astorga, Parana, Brasil
Astraksetra, Indonésia
Astoria, Oregon, Estados Unidos
Astrakhan, Astrakhanskaya Oblast, Rússia
Astypalea Island, Grécia
Adis Abeba, Adis Abeba Astedader, Etiópia
Assunção, Central, Paraguai
Aeroporto Amboseli, Amboseli, Quênia
Abu Simbel, Muhafazat Aswan, Egito
Aswan, Muhafazat Aswan, Egito
Aeroporto Asirim, Asirim, Papua-Nova Guiné
San Pedro de Atacama, Antofagasta, Chile
Atauro, Indonésia
Atacames, Esmeraldas, Equador
Ataliva Roca, La Pampa, Argentina
Atambua, Provinsi Nusa Tenggara Timur, Indonésia
Ataq, Shabwah, Iêmen
Atar, Adrar, Mauritânia
Ataliva, Santa Fe, Argentina
Aeroporto Atoifi, Atoifi, Ilhas Salomão
Atenas, Geórgia, Estados Unidos
Atenas, Tennessee, Estados Unidos
San Salvador Atenco, México, México
Atenas, Attica, Grécia
San Mateo Atenco, México, México
Atenas, Attica, Grécia
Athens, Ohio, Estados Unidos
Ati, Batha Region, Chade
Atiu, Ilhas Cook
Guatemala, Guatemala
Atibaia, São Paulo, Brasil
Atilio Vivacqua, Espírito Santo, Brasil
Aeroporto Antsirabe, Antsirabe, Madagáscar
Atkamba, Western, Papua-Nova Guiné
Atka, Alasca, Estados Unidos
Atlanta, Geórgia, Estados Unidos
Barranquilla, Atlántico, Colômbia
Atlacomulco, México, México
Atlantic, Iowa, Estados Unidos
Atlantida, Canelones, Uruguai
Atlixco, Puebla, México
Andes, Atlántico, Colômbia
Atlantic City, Nova Jersey, Estados Unidos
Atmautluak, Alasca, Estados Unidos
Aeroporto Namatanai, Namatanai, Papua-Nova Guiné
Bikini Atoll, Ilhas Marshall
Atoifi, Ilhas Salomão
Atoyac de Alvarez, Guerrero, México
Abemama Atoll, Kiribati
Atotonilco, Durango, México
Aur Atoll, Ilhas Marshall
Atotonilco, Guanajuato, México
Tikehau Atoll, Polinésia Francesa
Aeroporto Airstrip, Aitape, Papua-Nova Guiné
Atqasuk, Alasca, Estados Unidos
Aioun el Atrouss, Hodh el Gharbi, Mauritânia
Atsugi, Kanagawa-ken, Japão
Vatomandry, Atsinanana Region, Madagáscar
Tamatave, Atsinanana Region, Madagáscar
Farafangana, Atsimo-Atsinanana Region, Madagáscar
Tulear, Atsimo-Andrefana Region, Madagáscar
Atenas, Attica, Grécia
Attock, Punjab, Paquistão
Attopeu, Attapu, República Popular Democrática do Laos
Attu Island, Alasca, Estados Unidos
Attawapiskat, Canadá
Villa Atuel, Mendoza, Argentina
Atuona, Polinésia Francesa
Aeroporto Ati, Ati, Chade
Aeroporto Outagamie County, Appleton, Estados Unidos
Atyrau, Atyrau Oblysy, Cazaquistão
Atyrá, la Cordillera, Paraguai
Aeroporto Assiut, Assiut, Egito
Aua, Papua-Nova Guiné
Auburn, Califórnia, Estados Unidos
Aubreville, Region Lorraine, França
Auburn, Alabama, Estados Unidos
Aub Rudeis, Egito
Aubenas, Ródano-Alpes, França
Matakana, Auckland, Nova Zelândia
Matamata, Auckland, Nova Zelândia
East Tamaki Heights, Auckland, Nova Zelândia
Kawau Island, Auckland, Nova Zelândia
Ardmore, Auckland, Nova Zelândia
Auckland, Auckland, Nova Zelândia
Kaikohe, Auckland, Nova Zelândia
Surfdale, Auckland, Nova Zelândia
Aeroporto Augustus Downs, Augustus Downs, Austrália
Mount Aue, Papua-Nova Guiné
Wyk auf Foehr, Land Schleswig-Holstein, Alemanha
St. Augustine, Flórida, Estados Unidos
Augusta, Maine, Estados Unidos
Santo Augusto, Rio Grande do Sul, Brasil
Augustus Downs, Austrália
Port Augusta, South Australia, Austrália
Augusta, Geórgia, Estados Unidos
Aeroporto Internacional Abu Dhabi, Abu Dhabi, Emirados Árabes Unidos
Aeroporto Aua Island, Aua, Papua-Nova Guiné
Aeroporto Ambunti, Ambunti, Papua-Nova Guiné
Auki, Ilhas Salomão
Aeroporto Aur Island, Aur Atoll, Ilhas Marshall
Aeroporto Internacional Clermont/Ferrand Auvergne (Aulnat), Clermont-Ferrand, França
Aeroporto Whidbey Island NAS (Ault Field), Whidbey Island, Estados Unidos
Aupaluk, Canadá
Aeroporto Atuona, Atuona, Polinésia Francesa
Aurangabad, Maharashtra, Índia
Aurora, Ceará, Brasil
Aurora, Ilinóis, Estados Unidos
Aurukun Mission, Austrália
Nord-Aurdal, Oppland, Noruega
Aurillac, Region Auvergne, França
Nova Aurora, Parana, Brasil
Aurora, Colorado, Estados Unidos
Viena, Viana, Áustria
Austin, Texas, Estados Unidos
São José dos Ausentes, Rio Grande do Sul, Brasil
Sydney, Nova Gales do Sul, Austrália
Innsbruck, Tirol, Áustria
Salzburgo, Salzburg, Áustria
Gold Coast, Queensland, Austrália
Brisbane, Queensland, Austrália
Horta, Regiao Autonoma dos Acores, Portugal
Santa Cruz, Regiao Autonoma dos Acores, Portugal
Bissau, Sector Autonomo De Bissau, Guiné-Bissau
Bluefields, Region Autonoma Atlantico Sur, Nicarágua
São Sebastião, Euskal Autonomia Erkidegoa, Espanha
Bilbau, Euskal Autonomia Erkidegoa, Espanha
Ponta Delgada, Regiao Autonoma dos Acores, Portugal
Autlan de Navarro, Jalisco, México
Aeroporto Aurukun Mission, Aurukun Mission, Austrália
Vichy, Region Auvergne, França
Vitrac, Region Auvergne, França
Aurillac, Region Auvergne, França
Bellevue-la-Montagne, Region Auvergne, França
Auvergne, Austrália
Clermont-Ferrand, Region Auvergne, França
Pointe Aux Piments, Pamplemousses, Maurício
Aeroporto Aneityum, Aneityum, Vanuatu
Lachapelle-Auzac, Meio-Dia-Pirinéus, França
Ava, Missouri, Estados Unidos
Avalon, Califórnia, Estados Unidos
Avarua, Taravao, Ilhas Cook
Availles-en-Chatellerault, Poitou-Charentes, França
Avare, São Paulo, Brasil
Aeroporto Aviano, Aviano, Itália
Avenal, Califórnia, Estados Unidos
Avellino, Campania, Itália
Mealhada, Aveiro, Portugal
Avellaneda, Santa Fe, Argentina
Avellaneda, Buenos Aires, Argentina
Barra, Aveiro, Portugal
Aeroporto Avoriaz, Avoriaz, França
Aeroporto Auvergne, Auvergne, Austrália
Avinhão, Provence-Alpes-Côte d'Azur, França
Tel Aviv, Tel Aviv, Israel
Ciego de Avila, Ciego de Avila, Cuba
Aviano, Regi??utonoma Friuli Venezia Giulia, Itália
Avia Terai, Chaco, Argentina
Avila, República Dominicana
San Juan De Aviles, Nuevo León, México
Ávila, Castela e Leão, Espanha
Aeroporto Asheville Regional, Asheville, Estados Unidos
Aeroporto Avignon-Caumont, Avinhão, França
Avoriaz, Ródano-Alpes, França
Aeroporto Internacional Wilkes-Barre/Scranton, Wilkes-Barre, Estados Unidos
Nadym, Yamalo-Nenetskiy Avtonomnyy Okrug, Rússia
Salekhard, Yamalo-Nenetskiy Avtonomnyy Okrug, Rússia
Novyy Urengoy, Yamalo-Nenetskiy Avtonomnyy Okrug, Rússia
Provideniya, Chukotskiy Avtonomnyy Okrug, Rússia
Avu Avu, Ilhas Salomão
Aeroporto Avalon, Melbourne, Austrália
Awaba, Papua-Nova Guiné
Awar, Madang, Papua-Nova Guiné
Awaradam, Suriname
Awareh, Etiópia
Awassa, Southern Nations, Nationalities, and People's Region, Etiópia
Aeroporto Awaba, Awaba, Papua-Nova Guiné
Aeroporto Aniwa, Aniwa, Vanuatu
Aeroporto Alowe, Alowe, Gabão
Aeroporto Awareh, Awareh, Etiópia
Aeroporto Wake Island, Wake Island, Ilhas Menores Distantes dos Estados Unidos
Aeroporto Alton Downs, Alton Downs, Austrália
Aeroporto Austral Downs, Austral Downs, Austrália
Aeroporto Awar, Awar, Papua-Nova Guiné
Aeroporto Wallblake, Anguilla, Antígua e Barbuda
Aeroporto Axamo, Jonkoping, Suécia
Aeroporto Aramac, Aramac, Austrália
Aeroporto Dimokritos, Alexandroupolis, Grécia
Aeroporto Ataq, Ataq, Iêmen
Aeroporto Alexandria, Daly Waters, Austrália
Aeroporto El Eden, Armênia, Colômbia
Aeroporto Springpoint Arpt, Spring Point, Bahamas
Aeroporto Arutua, Arutha, Polinésia Francesa
Aeroporto Akita, Akita, Japão
Axum, Tigray Region, Etiópia
Ayacucho, Córdoba, Colômbia
Ayacucho, Buenos Aires, Argentina
Ayawasi, Indonésia
Ayapel, Córdoba, Colômbia
Ayala, Morelos, México
Ayacucho, Ayacucho, Peru
Puerto Ayacucho, Territorio Federal Amazonas, Venezuela
Ayala, Euskal Autonomia Erkidegoa, Espanha
Kusadasi, Aydin, Turquia
Ayers Rock, Austrália
Bassein, Ayeyawady Region, Mianmar [Birmânia]
Henzada, Ayeyawady Region, Mianmar [Birmânia]
Ayers Cliff, Quebeque, Canadá
Aeroporto RAF Station, Alconbury, Reino Unido
Ayia Marina Chrysochous, Eparchia Pafou, Chipre
Ayia Napa, Eparchia Ammochostou, Chipre
Aeroporto Arkalyk, Arkalyk, Cazaquistão
Aeroporto Anthony Lagoon, Anthony Lagoon, Austrália
Bulgan, Bulgan Aymag, Mongólia
Choibalsan, Dornod Aymag, Mongólia
Monte Aymond, Santa Cruz, Argentina
Aeroporto Anyang, Anyang, República Popular da China
Ilha Galápagos, Galápagos, Equador
Ayotlan, Jalisco, México
Aeroporto Yanamilla, Ayacucho, Peru
Aeroporto Connellan, Ayers Rock, Austrália
Ayr, Austrália
Chile Chico, Aysén, Chile
Balmaceda, Aysén, Chile
Río Ibañez, Aysén, Chile
Coyhaique, Aysén, Chile
Puerto Aisen, Aysén, Chile
Puerto Guadal, Aysén, Chile
Puerto Bertrand, Aysén, Chile
Cochrane, Aysén, Chile
Aeroporto Antalya, Antália, Turquia
Ayutthaya, Changwat Phra Nakhon Si Ayutthaya, Tailândia
Aeroporto Ayawasi, Ayawasi, Indonésia
Muzaffarabad, Azad Kashmir, Paquistão
Rawala Kot, Azad Kashmir, Paquistão
Mirpur, Azad Kashmir, Paquistão
Aeroporto Amazon Bay, Amazon Bay, Papua-Nova Guiné
Azcapotzalco, México D.F., México
Baki, Baku, Azerbaijão
Jevlach, Yevlakh, Azerbaijão
Gydu Heydar, Azerbaijão
Gyandzha, Azerbaijão
Aeroporto Bateen, Abu Dhabi, Emirados Árabes Unidos
Sultan Abdul Aziz Shah , Kuala Lumpur, Malásia
Aeroporto Internacional Nnamdi Azikiwe, Abuja, Nigéria
Aeroporto Sultan Azlan Shah, Ipoh, Malásia
Aeroporto Andizhan, Andijon, Uzbequistão
Ponta Delgada, Regiao Autonoma dos Acores, Portugal
Angra Do Heroismo, Regiao Autonoma dos Acores, Portugal
Santa Cruz, Regiao Autonoma dos Acores, Portugal
Azopardo, Buenos Aires, Argentina
Horta, Regiao Autonoma dos Acores, Portugal
Aeroporto Adrar, Adrar, Argélia
Aeroporto Internacional Samaná El Catey, Samaná, República Dominicana
Nice, Provence-Alpes-Côte d'Azur, França
Marselha, Provence-Alpes-Côte d'Azur, França
Avinhão, Provence-Alpes-Côte d'Azur, França
Mar Azul, Buenos Aires, Argentina
Cerro Azul, Panamá, Panamá
Pedra Azul, Espírito Santo, Brasil
Rio Azul, Parana, Brasil
Cannes, Provence-Alpes-Côte d'Azur, França
Baarle-Nassau, Brabante do Norte, Holanda
Babo, Provinsi Papua Barat, Indonésia
Babelegi, North-West, África do Sul
Buton Babau, Indonésia
Babahoyo, Los Rios, Equador
Bacalar, Quintana Roo, México
Bacabal, Maranhão, Brasil
Baco / Jinka, Etiópia
Bacabeira, Maranhão, Brasil
Bachiniva, Chihuahua, México
Baca Grande, Colorado, Estados Unidos
Bacolod, Western Visayas, Filipinas
Bacau, Judetul Bacau, Roménia
Baden Baden, Baden-Württemberg, Alemanha
Freiburg, Baden-Württemberg, Alemanha
Heidelberg, Baden-Württemberg, Alemanha
Bade, Indonésia
Badajoz, Extremadura, Espanha
Bad Wildbad, Baden-Württemberg, Alemanha
Badin, Paquistão
Stuttgart, Baden-Württemberg, Alemanha
Baependi, Minas Gerais, Brasil
Borotou, Bafing, Costa do Marfim
Touba, Bafing, Costa do Marfim
Bafoussem, Camarões
Bagé, Rio Grande do Sul, Brasil
Baglung, Nepal
Bagana, Filipinas
Bagdad, Arizona, Estados Unidos
El Bagre, Antioquia, Colômbia
Bagdogra, Bengala Ocidental, Índia
Bagual, San Luis, Argentina
Baghdad, Muhafazat Baghdad, Iraque
Porto Seguro, Bahia, Brasil
Morro de São Paulo, Bahia, Brasil
Praia do Forte, Bahia, Brasil
Arraial d´ajuda, Bahia, Brasil
Imbassai, Bahia, Brasil
Itacaré, Bahia, Brasil
Salvador, Bahia, Brasil
Ilhéus, Bahia, Brasil
Baia Formosa, Rio Grande do Norte, Brasil
San Jose Del Cabo, Baixa Califórnia do Sul, México
Baitadi, Nepal
Buenos Aires, Ciudad de Buenos Aires, Argentina
Baixio, Ceará, Brasil
Baidoa, Gobolka Bay, Somália
Cabo San Lucas, Baixa Califórnia do Sul, México
Baía da Traição, Paraíba, Brasil
San Jose Del Cabo, Baixa Califórnia do Sul, México
Bajhang, Nepal
Bajawa, Provinsi Nusa Tenggara Timur, Indonésia
Bajo Caracoles, Santa Cruz, Argentina
Bajone, Zambezia, Moçambique
Cabo San Lucas, Baixa Califórnia do Sul, México
Bajan, Coahuila de Zaragoza, México
Renaca Bajo, Região de Valparaíso, Chile
Baki, Baku, Azerbaijão
Baker, Oregon, Estados Unidos
Baker Lake, Canadá
Bakewell, Inglaterra, Reino Unido
Bakkafjordur, Nordeste, Islândia
Bakalalan, Malásia
Bakersfield, Califórnia, Estados Unidos
Bakouma, República Centro-Africana
Balneário de Penha, Santa Catarina, Brasil
Baltimore, Maryland, Estados Unidos
Ibiza, Illes Balears, Espanha
Doha, Baladiyat ad Dawhah, Qatar
Sant Antoni de Portmany, Illes Balears, Espanha
Palma de Maiorca, Illes Balears, Espanha
Balneário Camboriú, Santa Catarina, Brasil
Bali, Provinsi Bali, Indonésia
Bamerny, Iraque
Bamiyan, Wilayat-e Bamyan, Afeganistão
Bamu, Papua-Nova Guiné
Bambari, Ouaka, República Centro-Africana
Bamburi, Coast, Quênia
Ndele, Bamingui-Bangoran, República Centro-Africana
Bamenda, Camarões
Bamako, Bamako Region, Mali
Bangkok, Krung Thep Mahanakhon, Tailândia
Banff, Alberta, Canadá
Bananeiras, Paraíba, Brasil
Banes, Holguin, Cuba
Banz, Western Highlands, Papua-Nova Guiné
Baños, Azuay, Equador
Banjul, Banjul, Gâmbia
Banaina, Indonésia
Baotou, Inner Mongolia Autonomous Region, República Popular da China
Baoshan, Heilongjiang Sheng, República Popular da China
Bapi, Manus, Papua-Nova Guiné
Ilha Galápagos, Galápagos, Equador
Baqueira, Catalunya, Espanha
Barcelona, Catalunya, Espanha
Barra Grande, Bahia, Brasil
Barretos, São Paulo, Brasil
Barra de Sao Miguel, Alagoas, Brasil
Barueri, São Paulo, Brasil
Barra do Pirai, Rio de Janeiro, Brasil
San Carlos de Bariloche, Rio Negro, Argentina
